Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
269,San Francisco,West Coast,4-20,4,20,21-34,21,34,240,17-14,17,14,219,272,14-18,14,18,7-16,7,16,0-0,0,0,0-6,0,6,1-7,1,7,3-4,3,4,17-17,17,17
270,Manhattan,MAAC,10-14,10,14,22-30,22,30,298,12-16,12,16,188,275,6-8,6,8,16-22,16,22,0-0,0,0,0-6,0,6,0-0,0,0,5-9,5,9,17-15,17,15
271,Seattle University,Western Athletic,10-20,10,20,16-36,16,36,222,6-16,6,16,257,202,7-14,7,14,9-22,9,22,0-0,0,0,0-4,0,4,0-0,0,0,5-20,5,20,11-12,11,12
272,Pepperdine,West Coast,9-15,9,15,15-38,15,38,171,6-22,6,22,286,193,8-21,8,21,7-16,7,16,0-1,0,1,1-4,1,4,1-7,1,7,7-11,7,11,6-16,6,16
273,Western Illinois,Ohio Valley,8-19,8,19,13-37,13,37,191,5-18,5,18,231,108,5-12,5,12,8-22,8,22,0-3,0,3,0-1,0,1,1-5,1,5,3-14,3,14,9-17,9,17
274,Cal State Bakersfield,Big West,8-22,8,22,15-38,15,38,163,7-16,7,16,294,291,11-15,11,15,4-16,4,16,0-7,0,7,0-7,0,7,1-5,1,5,3-9,3,9,11-17,11,17
275,Milwaukee,Horizon League,13-17,13,17,17-36,17,36,245,3-17,3,17,285,169,10-7,10,7,6-27,6,27,1-2,1,2,0-0,0,0,1-7,1,7,1-19,1,19,15-10,15,10
276,North Alabama,ASUN,10-19-1,10,19,18-35-1,18,35,232,8-16,8,16,262,175,10-17-1,10,17,7-17,7,17,1-1,1,1,0-2-0,0,2,0-4-0,0,4,4-13-0,4,13,14-16-1,14,16
277,Mount Saint Mary's,MAAC,13-11,13,11,22-34-1,22,34,287,7-21-1,7,21,295,299,9-13-1,9,13,11-19,11,19,2-2,2,2,0-7-0,0,7,0-4-0,0,4,0-5-0,0,5,22-18-1,22,18
278,Central Connecticut,Northeast,17-15,17,15,18-24,18,24,292,1-9,1,9,289,183,10-11,10,11,8-13,8,13,0-0,0,0,0-2,0,2,0-1,0,1,4-6,4,6,14-15,14,15
279,Central Michigan,Mid-American,8-22,8,22,14-38,14,38,219,6-16,6,16,216,156,5-11,5,11,9-25,9,25,0-2,0,2,1-8,1,8,3-6,3,6,1-6,1,6,9-18,9,18
280,Tennessee-Martin,Ohio Valley,12-15,12,15,21-35,21,35,265,8-19,8,19,291,280,13-14,13,14,7-20,7,20,1-1,1,1,0-1,0,1,0-6,0,6,5-7,5,7,16-21,16,21
281,Queens,ASUN,10-20,10,20,14-41,14,41,178,4-21,4,21,274,75,8-17,8,17,6-23,6,23,0-1,0,1,0-3,0,3,0-7,0,7,5-12,5,12,9-19,9,19
282,Northern Colorado,The Summit League,13-16-1,13,16,16-38-1,16,38,249,1-20,1,20,278,31,6-9-1,6,9,5-27,5,27,5-2,5,2,0-8-0,0,8,1-3-0,1,3,1-10-0,1,10,14-17-1,14,17
283,Dartmouth,Ivy League,7-14,7,14,13-25,13,25,277,6-11,6,11,253,268,4-9,4,9,9-16,9,16,0-0,0,0,0-0,0,0,0-4,0,4,6-7,6,7,7-14,7,14
284,Utah Tech,Western Athletic,10-20,10,20,14-42,14,42,192,4-22,4,22,284,134,7-20,7,20,7-22,7,22,0-0,0,0,1-2,1,2,2-9,2,9,2-11,2,11,9-20,9,20
285,Youngstown State,Horizon League,9-21,9,21,16-44,16,44,216,3-21,3,21,282,131,6-16,6,16,6-26,6,26,4-2,4,2,0-7,0,7,1-8,1,8,2-10,2,10,13-19,13,19
286,Albany,America East,10-13,10,13,15-34-1,15,34,257,5-20-1,5,20,280,200,9-9,9,9,6-24-1,6,24,0-1,0,1,0-6-0,0,6,0-4-0,0,4,1-8-0,1,8,14-16-1,14,16
287,Brown,Ivy League,6-15,6,15,11-28,11,28,252,5-13,5,13,252,179,4-11,4,11,7-17,7,17,0-0,0,0,0-0,0,0,1-4,1,4,2-5,2,5,8-19,8,19
288,Lindenwood,Ohio Valley,9-18,9,18,15-38,15,38,242,6-20,6,20,283,212,7-16,7,16,8-22,8,22,0-0,0,0,0-0,0,0,0-6,0,6,4-14,4,14,11-18,11,18
289,Eastern Michigan,Mid-American,9-21,9,21,14-38,14,38,253,5-17,5,17,277,231,7-11,7,11,7-27,7,27,0-0,0,0,0-1,0,1,2-3,2,3,6-23,6,23,6-11,6,11
290,Omaha,The Summit League,16-13-1,16,13,18-32-1,18,32,293,2-17,2,17,299,276,8-9,8,9,10-19-1,10,19,0-4,0,4,0-2-0,0,2,0-2-0,0,2,2-9-0,2,9,16-19-1,16,19
291,Southern,SWAC,15-12,15,12,19-29,19,29,300,4-15,4,15,235,33,7-10,7,10,10-13,10,13,2-6,2,6,1-1,1,1,0-5,0,5,3-5,3,5,15-18,15,18
292,Iona,MAAC,6-18,6,18,12-38,12,38,254,6-20,6,20,269,188,7-7,7,7,5-31,5,31,0-0,0,0,0-2,0,2,0-9,0,9,3-15,3,15,9-12,9,12
293,Pacific,West Coast,5-19,5,19,11-44,11,44,170,6-25,6,25,290,184,9-18,9,18,2-25,2,25,0-1,0,1,0-6,0,6,0-10,0,10,0-9,0,9,11-19,11,19
294,Maine,America East,8-15,8,15,10-37,10,37,235,2-22,2,22,296,214,5-10,5,10,4-23,4,23,1-4,1,4,0-1,0,1,1-3,1,3,2-20,2,20,7-13,7,13
295,Bellarmine,ASUN,9-21,9,21,10-45,10,45,204,1-24,1,24,292,123,7-12,7,12,3-33,3,33,0-0,0,0,0-2,0,2,0-9,0,9,3-18,3,18,7-16,7,16
296,Siena,MAAC,8-16,8,16,12-40,12,40,273,4-24,4,24,297,284,7-11,7,11,5-29,5,29,0-0,0,0,0-0,0,0,0-7,0,7,2-18,2,18,10-15,10,15
297,Stephen F. Austin,Western Athletic,6-24,6,24,10-44,10,44,251,4-20,4,20,300,264,8-16,8,16,2-25,2,25,0-3,0,3,0-2,0,2,0-2,0,2,2-27,2,27,8-13,8,13
298,Alabama A&M,SWAC,9-20,9,20,10-38,10,38,291,1-18,1,18,302,247,5-13,5,13,5-25,5,25,0-0,0,0,0-1,0,1,0-0,0,0,2-15,2,15,8-22,8,22
299,Coppin State,Northeast,11-21,11,21,12-33,12,33,297,1-12,1,12,305,302,8-13,8,13,4-20,4,20,0-0,0,0,0-0,0,0,0-0,0,0,1-14,1,14,11-19,11,19
300,Saint Peter's,MAAC,6-18,6,18,12-40,12,40,303,6-22,6,22,301,305,6-9,6,9,6-31,6,31,0-0,0,0,0-0,0,0,0-0,0,0,1-18,1,18,11-22,11,22
301,Norfolk State,Northeast,7-26,7,26,12-41,12,41,299,5-15,5,15,303,301,7-26,7,26,5-15,5,15,0-0,0,0,0-1,0,1,0-0,0,0,1-12,1,12,11-28,11,28
302,Mississippi Valley State,SWAC,4-26,4,26,7-32,7,32,295,3-6,3,6,180,144,2-12,2,12,5-20,5,20,0-0,0,0,0-0,0,0,0-1,0,1,2-13,2,13,5-18,5,18
303,Alcorn State,SWAC,5-25,5,25,6-42,6,42,302,1-17,1,17,293,153,3-12,3,12,3-27,3,27,0-3,0,3,0-1,0,1,0-3,0,3,0-16,0,16,6-22,6,22
304,Maryland Eastern Shore,Northeast,0-30,0,30,0-48,0,48,285,0-18,0,18,304,237,0-14,0,14,0-34,0,34,0-0,0,0,0-0,0,0,0-0,0,0,0-19,0,19,0-29,0,29
305,Arkansas-Pine Bluff,SWAC,6-20,6,20,9-34,9,34,305,3-14,3,14,298,248,6-19,6,19,3-14,3,14,0-1,0,1,0-1,0,1,0-0,0,0,0-7,0,7,9-26,9,26
