Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Ethan Calder","BAY",21,3,6,5.178082191780822,15,15,0,0,0,73,315,75,45,42,9,18,3,0,0,64,"Ethan Calder","sa3028255",
"Joshua Caravalho","HCU",,9,4,5.755813953488372,18,16,0,0,0,86,399,106,66,55,8,28,9,12,0,64,"Joshua Caravalho","sa3028404",
"Chase Carson","CLT",,4,1,4.827814691501003,28,0,0,0,3,50.1,209,45,27,27,5,15,4,3,0,64,"Chase Carson","sa3028512",
"Jack Cline","LR",,8,5,5.055777046105648,17,16,1,0,0,83.2,372,83,54,47,10,33,10,1,0,64,"Jack Cline","sa3029054",
"Caleb Cross","APP",23,7,4,4.189655034635641,14,14,3,1,0,77.1,347,77,39,36,4,33,8,5,0,64,"Caleb Cross","sa3029595",
"Rory Fox","ND",21,4,4,3.5816325136444513,14,14,1,1,0,65.1,280,44,30,26,3,27,13,3,0,64,"Rory Fox","sa3031610",812431
"Tyler Kapraun","EIU",,6,4,4.05,15,15,0,0,0,80,350,87,47,36,7,20,5,2,0,64,"Tyler Kapraun","sa3035073",
"Max McEwen","INST",,6,3,4.628571529466281,13,10,0,0,0,58.1,268,50,35,30,3,31,10,6,0,64,"Max McEwen","sa3037575",
"Mason Patel","GT",23,11,2,3.342857142857143,23,0,0,0,5,70,283,57,29,26,8,18,5,2,0,64,"Mason Patel","sa3039528",
"Andrew Stanley","CIT",22,5,3,5.070422535211268,17,10,0,0,1,71,317,74,43,40,6,28,7,5,0,64,"Andrew Stanley","sa3042939",
"Cody Williams","FAMU",,5,3,4.689473778362752,30,1,0,0,4,63.1,284,61,34,33,7,27,8,2,0,64,"Cody Williams","sa3045270",
"Lyndon Glidewell","APSU",,8,0,3.3605151314965482,14,13,1,1,1,77.2,338,61,31,29,4,34,14,3,0,64,"Lyndon Glidewell","sa3059308",
"Clay Hendry","UNF",,6,5,3.921787625919371,18,11,0,0,0,59.2,254,53,33,26,6,22,5,4,0,64,"Clay Hendry","sa3059467",
"Brooks Roberson","LT",,5,4,4.897674592401357,16,11,0,0,0,71.2,317,62,45,39,5,32,12,5,0,64,"Brooks Roberson","sa3060386",
"Tim Teixeira","SIUE",,3,5,6.20095716416052,15,15,0,0,0,69.2,334,75,49,48,6,33,18,4,0,64,"Tim Teixeira","sa3060726",
"David Case","MEM",22,1,7,5.279329496429923,14,14,0,0,0,59.2,295,74,53,35,14,31,8,8,0,63,"David Case","sa3028566",
"Steven Cash","JVST",,5,2,4.586872451756527,16,16,1,0,0,86.1,366,73,48,44,13,33,5,5,2,63,"Steven Cash","sa3028581",
"Matthew Dallas","WAKE",21,5,1,4.895604292993141,14,14,0,0,0,60.2,279,60,41,33,4,29,6,3,1,63,"Matthew Dallas","sa3029790",
"Evan Gibbons","SAC",,10,2,4.193181818181818,15,15,0,0,0,88,380,91,43,41,11,23,10,5,0,63,"Evan Gibbons","sa3032171",
"Brady Hamilton","WICH",19,2,7,5.377118817898987,16,16,0,0,0,78.2,352,71,53,47,5,43,16,11,0,63,"Brady Hamilton","sa3033073",
"Trent Hillen","NWST",,7,1,5.541484531536367,14,14,1,1,0,76.1,349,84,54,47,9,30,7,8,0,63,"Trent Hillen","sa3033838",
"Nelson Keljo","ORST",21,3,2,4.011428658870777,17,11,0,0,2,58.1,255,46,26,26,7,33,3,5,1,63,"Nelson Keljo","sa3035174",804940
"Declan Lavelle","ELON",23,3,6,5.532786712246669,15,15,1,1,0,81.1,367,89,64,50,7,20,10,3,0,63,"Declan Lavelle","sa3036052",
"Chase Meyer","WVU",20,9,2,3.9375,22,3,0,0,1,48,218,32,25,21,1,38,12,4,0,63,"Chase Meyer","sa3037938",
"JR Tollett","UL",,6,4,3.5064935064935066,17,11,1,1,0,77,328,76,34,30,8,12,9,5,1,63,"JR Tollett","sa3043899",
"Eli DeRossi","MSM",20,3,1,5.482233714853421,14,8,0,0,0,65.2,307,58,44,40,8,36,17,5,0,63,"Eli DeRossi","sa3059042",
"Riane Ritter","STMN",19,6,1,4.078125,12,7,0,0,0,64,284,59,33,29,4,29,6,4,0,63,"Riane Ritter","sa3060378",
"Cody Templeton","SFA",,6,4,3.9011407975792483,13,13,3,1,0,87.2,385,103,44,38,4,13,6,2,0,63,"Cody Templeton","sa3060728",
"Michael Yusypchuk","MOST",,4,3,5.830985915492958,15,14,2,0,0,71,320,80,48,46,15,22,9,3,0,63,"Michael Yusypchuk","sa3060998",
"Zane Adams","ALA",21,7,4,5.538461538461538,15,14,1,0,0,65,293,75,43,40,12,26,0,5,0,62,"Zane Adams","sa3025773",
"Brady Bendik","NAVY",,4,4,3.9452054794520546,13,13,3,2,0,73,318,62,43,32,1,26,7,5,0,62,"Brady Bendik","sa3026945",
