Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Tim Ruffino","COPP",20,35.1,8.915094660456484,6.87735873806643,1.2962963,1.2735849514937834,0.19125683,0.14754098,0.04371585,0.30666667,2.0660378102010264,0.37272727,0.47222222,8.660377670157727,7.370865010688979,1.2895126594687483,"Tim Ruffino","sa3041271",
"Joey Walsh","BC",23,41,10.317073170731707,5.048780487804878,2.04347826,0.6585365853658537,0.24226804,0.1185567,0.12371134,0.26060606,1.6097560975609757,0.34782609,0.5899705,5.7073170731707314,4.420422535407835,1.2868945377628966,"Joey Walsh","sa3044729",
"Alex Cornwell","USC",22,79,7.405063291139241,2.392405063291139,3.0952381,0.6835443037974683,0.18465909,0.05965909,0.125,0.29141104,1.4683544303797469,0.34901961,0.55950266,5.3544303797468356,4.076456224465672,1.2779741552811634,"Alex Cornwell","sa3017501",676498
"David Watson","UTAH",,60.1,5.668508406760462,3.4309392988287004,1.65217391,0.5966850954484696,0.13970588,0.08455882,0.05514706,0.30578512,1.607734840513932,0.35,0.50813008,6.1160222283468135,4.8412649754039006,1.274757252942913,"David Watson","sa3044856",
"Justin Miller","PFW",20,61.2,9.340540347938736,6.859459318017509,1.36170213,0.583783771746171,0.21768707,0.15986395,0.05782313,0.23868313,1.7027026675929988,0.30857143,0.53191489,7.151351203890595,5.886976889045331,1.2643743148452637,"Justin Miller","sa3038071",
"Lathan Todd","CIT",,64.2,7.51546421308475,3.340206316926556,2.25,1.5309278952580048,0.17589577,0.0781759,0.09771987,0.31182796,1.7164949128650355,0.35514019,0.54216867,7.376288949879477,6.114254300233753,1.2620346496457238,"Lathan Todd","sa3043881",
"Jordan Jackson","GASO",22,67.2,9.842364901927512,1.8620690354997995,5.28571429,1.1970443799641568,0.24503311,0.04635762,0.1986755,0.28571429,1.4187192651427045,0.35784314,0.61611374,5.187192313178013,3.9490661304228296,1.2381261827551833,"Jordan Jackson","sa3018172",689095
"Connor Langreder","NIU",19,55,10.309090909090909,6.218181818181818,1.65789474,0.16363636363636364,0.24609375,0.1484375,0.09765625,0.22857143,1.5636363636363637,0.32191781,0.58315335,5.890909090909091,4.661621717973189,1.229287372935902,"Connor Langreder","sa3035945",
"Brandon Petersen","WMU",23,44,10.227272727272727,2.4545454545454546,4.16666667,1.6363636363636365,0.25641026,0.06153846,0.1948718,0.31693989,1.5909090909090908,0.4,0.5952381,6.340909090909091,5.116167172518644,1.224741918390447,"Brandon Petersen","sa3039766",
"Conor Larkin","PSU",22,63.2,9.75392650676295,3.3926700893088517,2.875,0.5654450148848086,0.23875433,0.08304498,0.15570934,0.26254826,1.4450261491500664,0.34408602,0.62770563,5.089005133963278,3.87395364675817,1.2150514872051081,"Conor Larkin","sa3018092",680212
