name,team,age,nameascii,playerid,mlbamid,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Jack Sinclair,UCF,22.0,Jack Sinclair,sa3017596,695378.0,2021,5,5,4.7727272727272725,17,13,0,0,1,66.0,307,72,42,35,8,26,19,3,0,42,5.7272727272727275,3.5454545454545454,1.61538462,1.0909090909090908,0.13680782,0.08469055,0.05211726,0.27480916,1.4848484848484849,0.30188679,0.70888469,6.125756309971665,-1.3530290372443927
Austin Love,UNC,22.0,Austin Love,sa3017609,676153.0,2021,10,4,3.7058823529411766,17,16,2,0,0,102.0,418,85,45,42,9,32,2,20,0,129,11.382352941176473,2.823529411764706,4.03125,0.7941176470588235,0.30861244,0.07655502,0.23205742,0.22135417,1.1470588235294117,0.30894309,0.69548872,3.2575817893533148,0.4483005635878618
Dustin Saenz,TA&M,22.0,Dustin Saenz,sa3017610,685010.0,2021,6,6,4.2687745748293855,14,14,0,0,0,84.1,362,83,45,40,12,23,4,4,0,104,11.098813894556404,2.4545453805268966,4.52173913,1.2806323724488158,0.28729282,0.06353591,0.22375691,0.24776119,1.256916958144208,0.32420091,0.69742489,3.97234364215192,0.2964309326774659
Aaron Davenport,HAW,20.0,Aaron Davenport,sa3017615,702126.0,2021,3,6,3.7384616481623034,13,13,0,0,0,86.2,358,82,41,36,6,21,6,5,0,97,10.07307721865954,2.1807692947613435,4.61904762,0.6230769413603838,0.27094972,0.05865922,0.2122905,0.24773414,1.188461573335547,0.33333333,0.67594433,3.6345923451982305,0.1038693029640729
Tyler Uberstine,NU,22.0,Tyler Uberstine,sa3017643,700413.0,2021,3,3,5.899159474760441,9,9,0,0,0,39.2,192,53,31,26,4,20,2,7,0,38,8.621848463111414,4.537814980584955,1.9,0.9075629961169908,0.19791667,0.10416667,0.09375,0.31176471,1.8403360754594535,0.3828125,0.63400576,4.869949918351903,1.0292095564085375
Braden Olthoff,TULN,22.0,Braden Olthoff,sa3017654,687467.0,2021,6,3,3.7754238508652462,13,13,1,0,0,78.2,331,81,37,33,6,11,3,8,1,91,10.411017285719314,1.258474616955082,8.27272727,0.6864407001573175,0.27492447,0.03323263,0.24169184,0.2555205,1.1694915632309852,0.34090909,0.66974596,2.989135842787674,0.7862880080775723
Mason Erla,MSU,23.0,Mason Erla,sa3017685,680451.0,2021,5,6,3.5020921620035264,13,13,1,0,0,79.2,343,76,40,31,3,30,7,2,0,80,9.037657192267163,3.389121447100187,2.66666667,0.3389121447100187,0.23323615,0.08746356,0.1457726,0.24836601,1.3305439755282216,0.32735426,0.67095588,3.6856034063228145,-0.1835112443192881
Christian Edwards,JVST,22.0,Christian Edwards,sa3017691,701180.0,2021,5,2,2.4782608695652173,12,11,0,0,1,69.0,271,42,21,19,5,27,3,8,0,83,10.826086956521738,3.5217391304347827,3.07407407,0.6521739130434783,0.30627306,0.099631,0.20664207,0.17427386,1.0,0.24183007,0.78461538,3.8758520223092345,-1.3975911527440172
Haylen Green,TCU,23.0,Haylen Green,sa3017716,669662.0,2021,1,3,3.328767036313435,25,0,0,0,12,48.2,194,43,24,18,2,5,4,2,0,55,10.171232610957718,0.9246575100870652,11.0,0.3698630040348261,0.28350515,0.0257732,0.25773196,0.23243243,0.9863013440928696,0.3203125,0.56910569,2.516518637806954,0.812248398506481
Tyler Ras,ALA,21.0,Tyler Ras,sa3017718,680724.0,2021,7,5,5.81538478603025,16,15,0,0,0,86.2,376,93,59,56,20,24,5,5,0,59,6.126923256710442,2.4923077654415353,2.45833333,2.0769231378679462,0.15691489,0.06382979,0.09308511,0.26801153,1.3500000396141651,0.27238806,0.67021277,6.2707779045782175,-0.4553931185479678
Thomas Farr,SC,22.0,Thomas Farr,sa3017720,686671.0,2021,3,7,3.872510077868156,15,15,0,0,0,83.2,375,81,40,36,8,38,6,8,0,90,9.681275194670391,4.087649526638609,2.36842105,0.8605577950818125,0.24,0.10133333,0.13866667,0.24471299,1.4223108002046625,0.31330472,0.74692443,4.297792864243183,-0.425282786375027
Ryne Moore,ODU,22.0,Ryne Moore,sa3017725,702295.0,2021,9,1,3.164062405703592,17,14,1,1,0,85.1,363,76,35,30,4,22,18,6,0,80,8.437499748542912,2.320312430849301,3.63636364,0.4218749874271456,0.22038567,0.06060606,0.15977961,0.23529412,1.1484374657738965,0.30125523,0.73369565,4.254502006154508,-1.0904396004509156
Trenton Wallace,IOWA,22.0,Trenton Wallace,sa3017748,680436.0,2021,7,1,2.3424657534246576,36,13,0,0,0,73.0,315,54,20,19,3,37,7,1,1,106,13.068493150684931,4.561643835616438,2.86486486,0.3698630136986301,0.33650794,0.11746032,0.21904762,0.19926199,1.2465753424657535,0.31481481,0.8315565,3.249482587265642,-0.9070168338409844
Colton Johnson,ILST,22.0,Colton Johnson,sa3017750,687439.0,2021,3,5,3.323077020588714,14,14,1,0,0,86.2,368,88,39,32,8,24,8,1,0,86,8.93076949283217,2.4923077654415353,3.58333333,0.8307692551471785,0.23369565,0.06521739,0.16847826,0.26190476,1.2923077302289443,0.33057851,0.74448529,4.067140023835313,-0.7440630032465987
