Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Brandon Haston","JKST",23,31.2,9.663158088747489,3.6947369162858044,2.61538462,0.8526315960659548,0.21935484,0.08387097,0.13548387,0.33823529,1.8631579321441236,0.43434343,0.46052632,8.242105428637563,6.1771446756907125,2.0649607529468508,"Brandon Haston","sa3033380",
"Kaleb Krier","VAL",,39.1,5.262712034539434,4.347457767663011,1.21052632,1.6016949670337408,0.11979167,0.09895833,0.02083333,0.31547619,1.8305085337528466,0.33333333,0.46130952,9.152542668764234,7.087680901497546,2.064861767266688,"Kaleb Krier","sa3035722",
"Garrett Mackowiak","GASO",20,18.2,10.607143218420003,5.785714482774546,1.83333333,0.48214287356454555,0.23404255,0.12765957,0.10638298,0.24050633,1.6607143422778792,0.32142857,0.39877301,6.7500002299036375,4.690042712007251,2.059957517896386,"Garrett Mackowiak","sa3036815",
"Riley Marcotte","UL",,0,0,9,0,0,0,1,-1,0,1,0,0,9,6.9400426864624025,2.0599573135375975,"Riley Marcotte","sa3037032",
"Ben Moyzan","ODU",,1.1,6.74999979883433,13.49999959766866,0.5,0,0.11111111,0.22222222,-0.11111111,0.4,2.9999999105930355,0.5,0.66666667,13.49999959766866,11.44004246294499,2.0599571347236694,"Ben Moyzan","sa3038495",
"Rhett Hammontree","GASO",,0.1,26.99999919533732,0,1,0,1,0,1,0,0,0,1,0,-2.0599571347236685,2.0599571347236685,"Rhett Hammontree","sa3033106",
"Nick Lottchea","W&M",21,26.1,6.151898585647907,2.3924050055297417,2.57142857,2.0506328618826357,0.13333333,0.05185185,0.08148148,0.33606557,1.8227847661178984,0.35714286,0.52631579,9.227847878471861,7.169908815071269,2.0579390634005925,"Nick Lottchea","sa3036580",
"Danny Salisbury","MSM",21,6.2,8.100000193119053,6.750000160932545,1.2,1.3500000321865089,0.17142857,0.14285714,0.02857143,0.31034483,2.100000050067903,0.36363636,0.58823529,9.450000225305562,7.3942378723621385,2.0557623529434235,"Danny Salisbury","sa3041446",
"Ben DeMell","PSU",,25.1,7.460526128554943,5.6842103836609095,1.3125,2.8421051918304547,0.15107914,0.11510791,0.03597122,0.325,2.1710525770927083,0.34065934,0.55555556,10.657894469364205,8.604675165041666,2.053219304322539,"Ben DeMell","sa3030123",
"Sam Murchison","UNCG",,18.2,9.642857471290911,1.4464286206936365,6.66666667,0,0.26666667,0.04,0.22666667,0.26760563,1.1785714687133335,0.37254902,0.56521739,4.821428735645456,2.76825918810708,2.0531695475383756,"Sam Murchison","sa3038567",
"Michael Pirrello","UCI",20,6.2,10.800000257492071,4.050000096559526,2.66666667,0,0.25806452,0.09677419,0.16129032,0.25925926,1.5000000357627876,0.36842105,0.63636364,5.4000001287460355,3.347300133705139,2.0526999950408964,"Michael Pirrello","sa3039958",
"Sam Schlecht","SDST",21,20,9.45,8.1,1.16666667,2.25,0.18584071,0.15929204,0.02654867,0.31764706,2.25,0.37288136,0.54166667,12.15,10.106848049163819,2.0431519508361813,"Sam Schlecht","sa3041713",
"Josh Kuhns","PFW",,27.1,6.585365700480631,4.939024275360473,1.33333333,2.304877995168221,0.13245033,0.09933775,0.03311258,0.39097744,2.4512194551789017,0.4245283,0.48172757,11.195121690817073,9.153753707665622,2.041367983151451,"Josh Kuhns","sa3035772",
"Ricardo Gonzalez","DSU",,44.2,6.447761010475699,5.238805821011506,1.23076923,0.4029850631547312,0.13445378,0.1092437,0.02521008,0.32160804,2.014925315773656,0.37575758,0.51896208,8.462686326249356,6.423069603232294,2.039616723017062,"Ricardo Gonzalez","sa3032439",
"Chase Playfair","SBU",,7.1,11.04545430605077,8.590908904706154,1.28571429,1.2272727006723079,0.225,0.175,0.05,0.36666667,2.4545454013446157,0.5,0.66326531,9.818181605378463,7.7787690464130135,2.0394125589654495,"Chase Playfair","sa3039987",
"Pierce Coppola","FLA",21,23.2,13.309859512486511,4.56338040428109,2.91666667,2.6619719024973025,0.3125,0.10714286,0.20535714,0.28421053,1.6478873682126158,0.37735849,0.58479532,8.746479108205422,6.714149297586726,2.0323298106186964,"Pierce Coppola","sa3029364",695518
"Brock Shoffner","HCU",,12.1,4.378378491231003,6.567567736846505,0.66666667,0,0.09836066,0.14754098,-0.04918033,0.24489796,1.7027027465898346,0.27906977,0.45833333,8.027027233923505,5.996311634835578,2.0307155990879266,"Brock Shoffner","sa3042205",
"Owen Quinn","BALL",20,19.1,9.310344521412537,6.517241164988776,1.42857143,0.9310344521412536,0.20618557,0.1443299,0.06185567,0.28395062,1.913793040512577,0.3559322,0.5801105,8.379310069271282,6.34919222606065,2.0301178432106326,"Owen Quinn","sa3040347",
