Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Connor Allen","UCF",,30,37,42,6,1,2,0,3,6,8,2,15,1,1,1,0,1,0,0.162162162,"Connor Allen","sa3025910",
"Lewi Clarke","MAN",,17,37,43,6,4,2,0,0,8,5,6,11,0,0,0,1,1,1,0.162162162,"Lewi Clarke","sa3028990",
"Alden Davis","USA",,17,37,47,6,4,2,0,0,4,3,7,13,1,0,2,0,0,0,0.162162162,"Alden Davis","sa3029879",
"Connor James","UAPB",,13,37,41,6,5,1,0,0,6,2,4,9,0,0,0,0,0,0,0.162162162,"Connor James","sa3034548",
"Lorenzo Morello","CCU",,19,37,45,6,5,1,0,0,6,5,4,15,2,0,2,1,3,0,0.162162162,"Lorenzo Morello","sa3038349",
"Shemar Page","LT",,20,37,41,6,5,1,0,0,1,3,2,9,0,1,1,1,0,0,0.162162162,"Shemar Page","sa3039347",
"Jacob Southern","IU",,17,37,44,6,5,1,0,0,3,3,6,17,1,0,0,0,1,0,0.162162162,"Jacob Southern","sa3042783",
"Brighton Taylor","SPU",,20,37,42,6,5,1,0,0,3,3,3,9,2,0,0,3,0,0,0.162162162,"Brighton Taylor","sa3043546",
"Logan Williams","KU",,21,37,44,6,3,3,0,0,6,2,6,15,1,0,0,1,0,0,0.162162162,"Logan Williams","sa3045328",
"Tyler Johnson","CCU",21,27,68,82,11,6,3,0,2,8,7,13,31,1,0,0,0,0,0,0.161764705,"Tyler Johnson","sa3034820",
"Joseph Kiel","UAB",,28,68,78,11,10,1,0,0,4,5,3,12,2,2,3,0,0,1,0.161764705,"Joseph Kiel","sa3035346",
"Josh Pigozzo","MRSH",19,35,68,76,11,9,1,1,0,6,2,7,23,1,0,0,2,3,1,0.161764705,"Josh Pigozzo","sa3039915",
"Ben Dukes","RICE",,26,31,39,5,5,0,0,0,8,1,7,8,0,0,1,1,0,0,0.161290322,"Ben Dukes","sa3030640",
"Cole Horton","NWST",,16,31,40,5,5,0,0,0,3,2,6,13,3,0,0,0,0,0,0.161290322,"Cole Horton","sa3034109",
"Noah Liles","UNCW",,20,31,32,5,4,0,0,1,3,4,0,11,0,0,1,0,0,0,0.161290322,"Noah Liles","sa3036339",
"Joe Novenche","UMBC",,16,31,38,5,4,1,0,0,6,7,3,6,3,1,0,1,1,0,0.161290322,"Joe Novenche","sa3038948",
"Trevor Antonson","SEA",20,31,56,66,9,5,2,0,2,9,4,4,24,5,0,1,0,1,1,0.160714285,"Trevor Antonson","sa3026121",
"James Espalin","IU",,20,56,71,9,8,1,0,0,8,6,11,14,3,0,1,0,1,0,0.160714285,"James Espalin","sa3031016",
