Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Devne Daniel","UNA",,208,0.134615384,0.149038461,0.903225806,0.307262569,0.403846153,0.407821229,0.811667382,0.10055866,1.6067571226670712,0.358620689,-0.563460124656558,35.7306055511179,4.2707223380746795,0.39015587304647154,113.57513729200383,"Devne Daniel","sa3029824",
"Tyler Nelson","INST",,92,0.184782608,0.163043478,1.133333333,0.257575757,0.439560439,0.363636363,0.803196802,0.106060606,6.583062868119435,0.307692307,-0.6099293380975723,16.817020223685816,2.003882513591365,0.3944093847012782,113.52773836852819,"Tyler Nelson","sa3038763",
"Anthony Panissidi","URI",,2,0.5,0.5,1,0,0.5,0,0.5,0,2.64285714,0,0.000013872862837160937,0.3570638844576077,0.0424691388216214,0.399461030960083,113.49963386571049,"Anthony Panissidi","sa3039402",
"Ryan Recio","VCU",19,2,0.5,0.5,1,0,0.5,0,0.5,0,2.64285714,0,0.000013872862837160937,0.3570638844576077,0.0424691388216214,0.399461030960083,113.49963386571049,"Ryan Recio","sa3040508",
"Jimmy Zakhar","DAY",19,2,0.5,0.5,1,0,0.5,0,0.5,0,2.64285714,0,0.000013872862837160937,0.3570638844576077,0.0424691388216214,0.399461030960083,113.49963386571049,"Jimmy Zakhar","sa3045787",
"Jayden Williams","PV",,44,0.181818181,0.295454545,0.615384615,0.272727272,0.418604651,0.424242424,0.842847075,0.151515152,9.265934548104998,0.4,0.2896589823067188,8.616734083798995,1.024213787225356,0.410050162049227,113.48977345095228,"Jayden Williams","sa3045304",
"Braxton Church","APP",19,35,0.057142857,0.228571428,0.25,0.222222222,0.4,0.444444444,0.844444444,0.222222222,7.0619652460748235,0.235294117,0.3723665615543723,6.279641080562371,0.7447326070707012,0.39758557592119487,113.45519281190373,"Braxton Church","sa3028916",
"Gavin Napier","SMC",,202,0.108910891,0.0990099,1.1,0.300578034,0.386138613,0.421965317,0.80810393,0.121387283,6.278666889145722,0.324675324,-0.8707607686519623,32.47426273195454,3.850107299968686,0.380350920233396,113.45055335909197,"Gavin Napier","sa3038672",
"Cole Stilwell","TTU",22,296,0.111486486,0.14527027,0.76744186,0.31300813,0.405405405,0.50406504,0.909470445,0.19105691,4.926446339765112,0.338308457,-0.30170263489708304,57.00125841337664,6.7408117457054395,0.40661984661946426,113.41176251432181,"Cole Stilwell","sa3043127",
"Cole Horton","NWST",,41,0.243902439,0.341463414,0.714285714,0.185185185,0.463414634,0.222222222,0.685636856,0.037037037,1.60119047125,0.384615384,-0.033766641514375806,7.443162536344814,0.8798996117928506,0.3975399877966904,113.40643551702475,"Cole Horton","sa3034109",
"John Greene","SHU",,9,0,0.333333333,0,0.333333333,0.333333333,0.555555555,0.888888888,0.222222222,1.60119047125,0.5,-0.00002430146560072899,1.5373819371678625,0.18133926894448166,0.39350846740934586,113.37268164150491,"John Greene","sa3032665",
"Max Williams","EKU",20,275,0.141818181,0.21090909,0.672413793,0.266968325,0.397810218,0.420814479,0.818624697,0.153846154,5.3011958582954835,0.32278481,0.12748928274959326,47.1459352464636,5.552339652295892,0.3897785165884199,113.34902542802634,"Max Williams","sa3045331",
"Logan Jordan","CAM",,237,0.071729957,0.198312236,0.361702127,0.289099526,0.35042735,0.530805687,0.881233037,0.241706161,3.8975944444800956,0.318181818,-0.8893994225654751,40.89241065346517,4.814265700810336,0.3896379529410957,113.343994562714,"Logan Jordan","sa3034935",
"Matt Scannell","PRIN",20,169,0.112426035,0.201183431,0.558823529,0.286713286,0.38095238,0.475524475,0.856476855,0.188811189,4.430611800663852,0.326923076,0.4636479134205729,30.444052756695427,3.5754234203383075,0.38755956008320763,113.30705550915559,"Matt Scannell","sa3041643",
"Wesley Faison","TXST",,238,0.172268907,0.226890756,0.759259259,0.255319148,0.390756302,0.494680851,0.885437153,0.239361703,2.2422161087499997,0.2890625,-0.16119509236887097,42.645534235246785,5.008156615503435,0.39733160393578665,113.3063378275226,"Wesley Faison","sa3031130",
