Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,age,total_college_seasons,eligibility_basis
280,Late,John Damozonio,98.9,195.19937,70040.0,202940.0,22.0,4,class
281,Late,Connor Kelley,98.5,195.90396,108268.0,231378.0,22.0,2,age
282,Late,Eli Pillsbury,99.7,196.11172,119963.0,195303.0,22.0,1,age
283,Late,Tommy Harrison,99.5,196.27658,124789.0,304258.0,22.0,3,class
284,Late,Gavin Perry,93.0,196.30368,31949.0,188362.0,23.0,2,age
285,Late,Trey Gambill,96.2,196.59026,21222.0,220082.0,24.0,2,age
286,Late,Nathan Leininger,98.2,197.64816,46193.0,167180.0,22.0,4,class
287,Late,Chase Frey,96.0,197.88599,132565.0,239311.0,21.0,1,age
288,Late,Cole Tabor,96.4,198.00989,103450.0,175465.0,22.0,2,age
289,Late,Cody Brasch,99.4,198.13078,132065.0,173597.0,22.0,1,age
290,Late,Blake Grimmer,97.6,198.21863,111866.0,314158.0,22.0,2,age
291,Late,Jaxon Lucas,91.9,198.74512,165083.0,351540.0,21.0,3,class
292,Late,Wyatt Danilowicz,99.6,199.6104,148541.0,239282.0,22.0,3,class
293,Late,Matt Scott,99.3,199.91542,146976.0,238340.0,22.0,4,class
294,Late,Luke Pettitte,93.2,200.15323,142037.0,335834.0,21.0,3,class
295,Late,Tony Neubeck,95.9,200.2292,33365.0,237958.0,23.0,4,class
296,Late,Lincoln Sheffield,99.6,200.6579,116032.0,183553.0,22.0,2,age
297,Late,Burke-Lee Mabeus,98.6,200.76935,170978.0,260429.0,21.0,2,age
298,Late,Darin Horn,99.8,201.61633,35959.0,310175.0,23.0,4,class
299,Late,Maddox Haley,96.5,201.71095,218276.0,413806.0,21.0,2,age
300,Late,Landon Stump,99.1,202.74443,156335.0,303844.0,21.0,3,class
