Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Mikey Ryan","NCSU",20,191,0.130890052,0.162303664,0.806451612,0.341772151,0.436170212,0.594936708,1.03110692,0.253164557,7.317560397527182,0.375,0.8153366027399898,44.59026833477008,8.363219311857097,0.44972472875676256,123.0855659995036,"Mikey Ryan","sa3065403",
"Isaac Wachsmann","CREI",21,258,0.124031007,0.197674418,0.62745098,0.28110599,0.379844961,0.534562211,0.914407172,0.253456221,6.841298628373055,0.301282051,0.9300158694386482,47.69319665409491,8.945035069956038,0.4079255554103112,123.0850566949674,"Isaac Wachsmann","sa3044598",
"Kain Collins","CHSO",23,220,0.159090909,0.154545454,1.029411764,0.329545454,0.446511627,0.409090909,0.855602536,0.079545455,7.908896456372577,0.405594405,2.9017228738521226,44.56529303864049,8.350008273873797,0.42309827222380525,123.0565859915518,"Kain Collins","sa3029190",
"Jayce Lee","ND",20,242,0.11983471,0.194214876,0.617021276,0.326732673,0.429752066,0.608910891,1.038662957,0.282178218,6.261880848246331,0.368055555,-0.7860852889716625,56.46620068280616,10.565960559534217,0.4495966202956586,123.01940149149058,"Jayce Lee","sa3059777",
"Quincy Malbrough","PUR",21,107,0.093457943,0.14953271,0.625,0.329411764,0.451923076,0.447058823,0.898981899,0.117647059,5.225496770370539,0.397058823,-0.40632883459329605,22.276564207641133,4.166156080333242,0.4260493918107106,123.0042086906439,"Quincy Malbrough","sa3074350",
"Caleb Wulf","IOWA",22,257,0.054474708,0.050583657,1.076923076,0.385281385,0.437007874,0.489177489,0.926185363,0.103896104,3.607381716939285,0.398148148,-0.8389837816357613,53.47921231587585,9.980381580192406,0.42594058119405914,122.94402265853365,"Caleb Wulf","sa3060976",
"Robin Villeneuve","TTU",22,197,0.101522842,0.26395939,0.384615384,0.34117647,0.426395939,0.576470588,1.002866527,0.235294118,3.1045850774678496,0.440366972,-0.8923978060483932,43.827915373305146,8.175551700452628,0.43884861590293456,122.93130344869083,"Robin Villeneuve","sa3044511",
"Isaac Brozon","LEM",,202,0.084158415,0.08910891,0.944444444,0.347560975,0.452736318,0.396341463,0.849077781,0.048780488,7.408253187912239,0.378378378,0.7536988155916333,43.788136725324975,8.163703446287503,0.43425062877028736,122.91602334370684,"Isaac Brozon","sa3069686",
"Ivan Dahlberg","NIU",22,240,0.208333333,0.145833333,1.428571428,0.224852071,0.445378151,0.431952662,0.877330813,0.207100591,4.498255227265153,0.236220472,0.530915251467377,49.65480143011327,9.257121624357655,0.42877038086161895,122.91498340713802,"Ivan Dahlberg","sa3069898",
"Hunter Snyder","COLU",21,134,0.097014925,0.19402985,0.5,0.298245614,0.39849624,0.412280701,0.810776941,0.114035087,4.428977856475659,0.372093023,-0.4826071336865425,23.21779895850203,4.318932513675906,0.39682553092339884,122.85286541541905,"Hunter Snyder","sa3042690",
"Ryan Skwarek","USI",,39,0.076923076,0.102564102,0.75,0.285714285,0.444444444,0.428571428,0.873015872,0.142857143,2.64285714,0.304347826,-0.04406657908111811,8.142435972278642,1.513368059580851,0.4225446217589908,122.82927373065581,"Ryan Skwarek","sa3071302",
"Carlos Irizarry","BRY",22,185,0.064864864,0.129729729,0.5,0.322981366,0.383333333,0.50310559,0.886438923,0.180124224,7.182272990894594,0.350746268,0.5108750984072685,35.14993665453414,6.520697900023255,0.40828819308016034,122.77635796025434,"Carlos Irizarry","sa3070409",
"AJ Oden","IONA",,198,0.161616161,0.146464646,1.103448275,0.3081761,0.436548223,0.37735849,0.813906713,0.06918239,3.7789063675740726,0.369230769,-0.533264241181314,36.82996394888927,6.83012827889492,0.4131714895291982,122.76721897422382,"AJ Oden","sa3070903",
"Jordan Ballin","UTSA",20,216,0.208333333,0.125,1.666666666,0.295302013,0.48095238,0.335570469,0.816522849,0.040268456,4.010112938641083,0.344,-2.0606192173436284,44.17152430680537,8.191359778912306,0.4248948545682998,122.76632107271793,"Jordan Ballin","sa3058547",
"Brendan Buecker","MONM",21,193,0.14507772,0.093264248,1.555555555,0.288732394,0.445652173,0.366197183,0.811849356,0.077464789,3.3457192582422115,0.322580645,-1.2042041579261422,37.731813806757984,6.992720398769438,0.4139099989248359,122.74862275851035,"Brendan Buecker","sa3027979",
"Nick Vega","NJIT",,94,0.159574468,0.265957446,0.6,0.25,0.380434782,0.513157894,0.893592676,0.263157894,4.1385467899999995,0.304347826,-0.1543969362974167,17.855764796013332,3.3090164558834814,0.40823958490205847,122.74746478396794,"Nick Vega","sa3044417",
"Elijha Hammill","NIA",22,195,0.123076923,0.102564102,1.2,0.313253012,0.407216494,0.463855421,0.871071915,0.150602409,4.1846902970453534,0.326241134,-0.4930600831285119,36.245743212467815,6.70045050717034,0.4130318794668335,122.67857209608539,"Elijha Hammill","sa3033096",
"Lleyton Coupe","BUCK",,133,0.135338345,0.157894736,0.857142857,0.288288288,0.39849624,0.45045045,0.84894669,0.162162162,4.667903875609892,0.337078651,-0.8301398521289229,24.167632206696403,4.4669209563912275,0.40485628206927077,122.67390704648815,"Lleyton Coupe","sa3069867",
"Chanz Doughty","STBK",,190,0.126315789,0.27368421,0.461538461,0.2875,0.384210526,0.54375,0.927960526,0.25625,4.953762648926841,0.356435643,-0.03420550003647804,37.11474478848165,6.853461122586189,0.4137384656228517,122.64762195236966,"Chanz Doughty","sa3059074",
"Raphael Dunne","UCSD",,28,0.178571428,0.178571428,1,0.25,0.464285714,0.25,0.714285714,0,6.3874292349827915,0.333333333,0.11802028235979378,4.742984415474513,0.8752527846723588,0.39650194346904755,122.62961519103213,"Raphael Dunne","sa3075464",
"Wylie Waters","UPST",22,232,0.077586206,0.258620689,0.3,0.31707317,0.392241379,0.551219512,0.943460891,0.234146342,3.853707923624869,0.395522388,-0.8698477877769619,46.831542959125585,8.64087902537162,0.4223638202609687,122.62563185693813,"Wylie Waters","sa3060878",
"Miles Curley","UNO",,147,0.108843537,0.238095238,0.457142857,0.3,0.38095238,0.53076923,0.91172161,0.23076923,5.437951917715268,0.363636363,0.23684833711013198,27.901659395530096,5.147286381556859,0.40808218514838185,122.62108641005385,"Miles Curley","sa3069891",
