Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jarek Podest","STBK",22,0,0,16.200000386238106,2,0,0,0,0,1.2,13,2,5,3,0,6,0,3,0,3,"Jarek Podest","sa3075585",
"Ayden Benson","WICH",21,0,0,6,4,0,0,0,0,3,15,2,2,2,0,3,2,1,0,3,"Ayden Benson","sa3075658",
"Lonzo Drummond","MIA",20,0,0,26.99999919533732,4,0,0,0,0,1.1,12,1,4,4,0,5,1,1,0,3,"Lonzo Drummond","sa3075680",
"Ethan Maddies","HC",,0,0,5.062499849125747,5,0,0,0,1,5.1,25,5,5,3,0,4,1,0,0,3,"Ethan Maddies","sa3075737",
"Cole Taylor","ELON",,0,1,10.285714285714286,8,1,0,0,0,7,40,10,11,8,1,7,1,1,0,3,"Cole Taylor","sa3075745",
"James Hare","LAS",19,0,0,10.800000257492071,3,0,0,0,0,3.1,18,4,5,4,0,4,0,2,0,3,"James Hare","sa3075767",
"David Heefner","DBU",21,0,0,6.74999979883433,2,0,0,0,0,1.1,7,3,1,1,0,0,0,0,1,3,"David Heefner","sa3075812",
"Tye Briscoe","ARK",19,0,0,0,2,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,"Tye Briscoe","sa3075862",
"Seamus Scott","UML",,0,0,6.230769002225986,2,0,0,0,0,4.1,24,5,3,3,0,6,1,1,0,3,"Seamus Scott","sa3075877",
"Evan Seneres","UCSD",,0,1,5.869565339079428,3,2,0,0,0,7.2,35,7,6,5,1,4,0,0,0,3,"Evan Seneres","sa3075878",
"Wells Twining","UMBC",20,0,1,32.40000077247621,2,0,0,0,0,1.2,15,6,10,6,2,3,0,2,0,3,"Wells Twining","sa3075881",
"Langdon Hazen","QUIN",,0,0,7.363636204033847,3,0,0,0,0,3.2,22,3,5,3,0,5,2,0,0,3,"Langdon Hazen","sa3075894",
"Luke Billings","TA&M",19,0,0,40.49999879300598,3,0,0,0,0,1.1,13,2,8,6,0,4,2,0,0,3,"Luke Billings","sa3076183",
