Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
232,Late,Weber Neels,95.1,193.87616,229301.0,380117.0,3.0,3,seasons
233,Late,Reese Lumpkin,93.8,194.54779,89179.0,275691.0,4.0,5,seasons
234,Late,Grant Manning,99.5,195.0001,35879.0,170836.0,4.0,2,class
235,Late,Smith Pinson,99.2,195.06467,34992.0,257055.0,4.0,4,seasons
236,Late,Jackson Van De Brake,95.4,195.71144,70634.0,189593.0,4.0,3,seasons
237,Late,Zane Taylor,99.3,196.04103,89083.0,338634.0,4.0,4,seasons
238,Late,Kimble Schuessler,90.4,196.0696,73274.0,213249.0,4.0,3,seasons
239,Late,Gage Harrelson,99.3,196.70802,244036.0,413032.0,3.0,3,seasons
240,Late,Luke Nomura,98.7,198.1602,384429.0,406876.0,3.0,3,seasons
241,Late,Daniel Thompson,97.7,199.51607,58601.0,224339.0,4.0,2,class
242,Late,Jake McCutcheon,98.2,200.2964,253749.0,335822.0,3.0,3,seasons
243,Late,Dariel Osoria,97.0,200.53912,180310.0,418237.0,3.0,1,class
244,Late,Kolby Branch,96.6,200.63345,202332.0,398268.0,3.0,3,seasons
245,Late,Nate Anderson,99.1,201.64894,29814.0,236771.0,4.0,4,seasons
246,Late,Luke Cooley,95.3,201.78682,140575.0,288310.0,3.0,1,class
247,Late,Luke Heyman,98.5,202.00342,238267.0,406270.0,3.0,3,seasons
248,Late,Brody Donay,97.8,202.72253,239241.0,500077.0,3.0,3,seasons
249,Late,Michael Quevedo,91.3,203.40257,86200.0,270551.0,4.0,4,seasons
250,Late,Camden Troyer,98.1,203.428,83296.0,574762.0,4.0,4,seasons
251,Late,Gus Freeman,90.4,203.52228,44155.0,272494.0,4.0,4,seasons
252,Late,Hunter Ensley,99.6,203.68423,83114.0,266231.0,4.0,5,seasons
253,Late,Kaden Smith,91.2,204.0151,125906.0,228337.0,3.0,2,class
254,Late,Reid Easterly,97.8,204.03403,40970.0,168445.0,4.0,4,seasons
255,Late,Alex Breckheimer,94.3,204.35338,139234.0,323480.0,3.0,1,class
256,Late,Carson Byers,97.7,204.65591,182948.0,245523.0,3.0,3,seasons
257,Late,Maximus Martin,96.2,204.74031,166517.0,302428.0,3.0,3,seasons
258,Late,Jordan Jaffe,91.9,204.9288,269523.0,385859.0,3.0,3,seasons
259,Late,Ben Watson,90.9,204.9864,31361.0,251646.0,4.0,2,class
260,Late,Benny Casillas,97.2,205.1682,39739.0,224094.0,4.0,4,seasons
261,Late,Josh Tate,99.1,205.47632,260559.0,377315.0,3.0,3,seasons
262,Late,Colin Daniel,98.1,206.3444,112170.0,244484.0,3.0,3,seasons
263,Late,Beau Ankeney,92.8,206.47249,219424.0,513665.0,3.0,3,seasons
264,Late,Michael Barnett,99.2,206.51347,159084.0,297059.0,3.0,3,seasons
265,Late,Nolan Sailors,99.8,207.04626,52117.0,250666.0,4.0,4,seasons
266,Late,Chris Stanfield,91.0,207.06105,190467.0,280738.0,3.0,3,seasons
267,Late,Riley Kelly,96.9,207.58316,169964.0,245549.0,3.0,3,seasons
268,Late,Brayden Simpson,96.4,208.30125,283404.0,678346.0,3.0,3,seasons
269,Late,Jay Dill,94.7,208.95184,74971.0,237145.0,4.0,4,seasons
270,Late,Jess Ackerman,97.7,209.3251,244248.0,267523.0,3.0,3,seasons
271,Late,Brady Jones,98.8,209.80281,188713.0,277207.0,3.0,3,seasons
272,Late,Jake Hunter,91.1,209.86153,109448.0,422278.0,4.0,4,seasons
273,Late,Core Jackson,99.7,209.89189,39028.0,176977.0,4.0,2,class
274,Late,Chase Call,95.3,209.99414,42352.0,173355.0,4.0,4,seasons
275,Late,Brayden Smith,99.8,209.99588,143328.0,310892.0,3.0,1,class
276,Late,Ethan Young,99.4,210.8099,123941.0,204995.0,3.0,1,class
277,Late,Braylon Owens,96.1,211.35555,57888.0,217505.0,4.0,4,seasons
