Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
137,UNCG,Southern,7-14,7,14,23-33,23,33,67,15-17,15,17,134,128,11-15,11,15,10-16,10,16,2-2,2,2,4-9,4,9,2-12,2,12,4-6,4,6,13-6,13,6
138,Hofstra,Coastal Athletic,14-16,14,16,22-29,22,29,114,6-11,6,11,155,122,8-7,8,7,12-20,12,20,2-2,2,2,0-6,0,6,1-4,1,4,12-12,12,12,9-7,9,7
139,Toledo,Mid-American,21-12,21,12,32-29,32,29,183,8-15,8,15,219,212,15-8,15,8,13-19,13,19,4-2,4,2,0-4,0,4,5-9,5,9,8-11,8,11,19-5,19,5
140,Western Kentucky,Conference USA,14-16,14,16,30-27,30,27,115,15-10,15,10,137,138,22-14,22,14,6-12,6,12,2-1,2,1,1-8,1,8,3-5,3,5,10-7,10,7,16-7,16,7
141,Yale,Ivy League,14-6-1,14,6,30-15-1,30,15,279,13-7,13,7,122,278,15-4,15,4,12-9-1,12,9,3-2,3,2,0-2-0,0,2,0-0-0,0,0,3-6-1,3,6,27-7-0,27,7
142,Wichita State,American,12-15,12,15,30-29,30,29,126,15-12,15,12,212,257,19-13,19,13,8-14,8,14,3-2,3,2,1-12,1,12,6-5,6,5,8-5,8,5,15-7,15,7
143,Utah Tech,Western Athletic,10-8,10,8,33-23,33,23,242,21-13,21,13,161,285,15-8,15,8,16-13,16,13,2-2,2,2,0-0,0,0,2-5,2,5,6-12,6,12,25-6,25,6
144,Maine,America East,14-10,14,10,23-32,23,32,122,6-20,6,20,151,33,8-6,8,6,11-24,11,24,4-2,4,2,2-7,2,7,4-9,4,9,3-10,3,10,14-6,14,6
145,UC Davis,Big West,14-16,14,16,26-28,26,28,132,12-12,12,12,90,76,12-14,12,14,14-14,14,14,0-0,0,0,0-3,0,3,7-5,7,5,5-13,5,13,14-7,14,7
146,Monmouth,Coastal Athletic,20-10,20,10,30-23,30,23,228,9-11,9,11,206,244,14-8,14,8,15-11,15,11,1-4,1,4,0-1,0,1,1-2,1,2,14-13,14,13,15-7,15,7
147,Tulane,American,10-17,10,17,25-31,25,31,106,15-14,15,14,152,187,18-9,18,9,7-21,7,21,0-1,0,1,2-6,2,6,4-13,4,13,6-9,6,9,13-3,13,3
148,George Mason,Atlantic 10,18-12,18,12,30-26,30,26,199,10-12,10,12,173,191,14-9,14,9,12-14,12,14,4-3,4,3,0-5,0,5,1-4,1,4,6-8,6,8,23-9,23,9
149,Western Michigan,Mid-American,20-13,20,13,27-25,27,25,195,6-10,6,10,191,203,11-7,11,7,13-12,13,12,3-6,3,6,1-3,1,3,3-8,3,8,7-7,7,7,16-7,16,7
150,Rhode Island,Atlantic 10,16-14,16,14,26-31,26,31,140,7-15,7,15,187,112,13-7,13,7,10-21,10,21,3-3,3,3,0-6,0,6,1-0,1,0,12-14,12,14,13-11,13,11
151,Bucknell,Patriot League,17-9,17,9,27-24,27,24,209,7-13,7,13,205,157,13-7,13,7,11-15,11,15,3-2,3,2,0-2,0,2,0-1,0,1,6-12,6,12,21-9,21,9
152,Central Arkansas,ASUN,17-13,17,13,31-26,31,26,210,13-12,13,12,116,143,18-9,18,9,12-16,12,16,1-1,1,1,0-3,0,3,1-3,1,3,8-9,8,9,22-11,22,11
153,Lipscomb,ASUN,19-11,19,11,29-26,29,26,186,7-13,7,13,234,113,16-11,16,11,10-14,10,14,3-1,3,1,0-6,0,6,0-1,0,1,7-5,7,5,22-14,22,14
154,Northwestern,Big Ten,8-22,8,22,21-30-1,21,30,90,13-8-1,13,8,74,160,12-9-1,12,9,4-19,4,19,5-2,5,2,4-10-0,4,10,1-8-0,1,8,2-6-0,2,6,14-6-1,14,6
155,Illinois State,Missouri Valley,13-11,13,11,33-24,33,24,271,20-11,20,11,80,234,16-3,16,3,15-18,15,18,2-3,2,3,2-1,2,1,4-3,4,3,5-14,5,14,22-6,22,6
156,Northwestern State,Southland,16-14,16,14,26-26,26,26,166,9-10,9,10,180,201,16-8,16,8,9-16,9,16,1-2,1,2,0-2,0,2,3-5,3,5,8-13,8,13,15-6,15,6
157,Nicholls,Southland,15-13,15,13,21-26,21,26,117,6-11,6,11,150,40,10-12,10,12,11-11,11,11,0-3,0,3,1-7,1,7,0-2,0,2,12-9,12,9,8-8,8,8
158,Washington,Big Ten,12-18,12,18,24-32,24,32,94,10-13,10,13,245,258,12-14,12,14,9-13,9,13,3-5,3,5,4-12,4,12,2-3,2,3,10-9,10,9,8-8,8,8
159,North Florida,ASUN,22-8,22,8,31-24,31,24,207,9-14,9,14,244,179,20-11,20,11,11-11,11,11,0-2,0,2,0-6,0,6,0-0,0,0,7-6,7,6,24-12,24,12
160,Radford,Big South,12-12,12,12,25-26,25,26,143,13-12,13,12,145,158,15-11,15,11,9-12,9,12,1-3,1,3,1-5,1,5,2-6,2,6,6-5,6,5,16-10,16,10
161,North Alabama,ASUN,19-11,19,11,31-28,31,28,182,9-15,9,15,204,100,17-13,17,13,11-13,11,13,3-2,3,2,0-5,0,5,0-2,0,2,9-9,9,9,22-12,22,12
162,Indiana State,Missouri Valley,15-9,15,9,30-27,30,27,204,15-16,15,16,112,107,10-11,10,11,15-10,15,10,5-6,5,6,1-2,1,2,1-3,1,3,13-9,13,9,15-13,15,13
163,Fairfield,MAAC,20-10,20,10,30-22,30,22,260,7-11,7,11,217,225,14-7,14,7,13-14,13,14,3-1,3,1,0-3,0,3,2-1,2,1,6-9,6,9,23-10,23,10
164,Florida A&M,SWAC,22-8,22,8,30-23,30,23,227,5-14,5,14,262,91,17-10,17,10,10-10,10,10,3-3,3,3,0-4,0,4,0-2,0,2,1-3,1,3,29-14,29,14
165,Nevada,Mountain West,13-11,13,11,22-27,22,27,137,9-15,9,15,185,110,13-9,13,9,9-17,9,17,0-1,0,1,0-7,0,7,3-7,3,7,3-3,3,3,16-10,16,10
166,Murray State,Missouri Valley,15-9,15,9,32-27,32,27,257,15-16,15,16,156,228,7-6,7,6,11-18,11,18,14-3,14,3,0-9,0,9,0-1,0,1,8-9,8,9,24-8,24,8
167,Army,Patriot League,17-9,17,9,28-20,28,20,266,11-9,11,9,158,255,15-6,15,6,12-12,12,12,1-2,1,2,0-4,0,4,0-3,0,3,4-4,4,4,24-9,24,9
168,Houston Christian,Southland,13-17,13,17,24-29,24,29,154,10-10,10,10,121,171,11-11,11,11,12-16,12,16,1-2,1,2,2-4,2,4,2-9,2,9,10-11,10,11,10-5,10,5
169,Oral Roberts,The Summit League,22-6,22,6,35-24,35,24,259,10-16,10,16,133,43,17-11,17,11,14-10,14,10,4-3,4,3,1-5,1,5,3-4,3,4,7-5,7,5,24-10,24,10
170,Wright State,Horizon League,17-7,17,7,27-28,27,28,194,8-19,8,19,102,5,11-11,11,11,14-14,14,14,2-3,2,3,5-6,5,6,2-8,2,8,2-4,2,4,18-10,18,10
171,ULM,Sun Belt,12-18,12,18,27-28,27,28,153,15-10,15,10,214,284,18-13,18,13,9-13,9,13,0-2,0,2,2-4,2,4,7-6,7,6,6-9,6,9,12-9,12,9
172,Alabama State,SWAC,20-10,20,10,34-23,34,23,261,10-11,10,11,163,130,15-12,15,12,12-10,12,10,7-1,7,1,0-7,0,7,0-2,0,2,2-3,2,3,32-11,32,11
173,Lindenwood,Ohio Valley,13-14,13,14,29-28,29,28,184,15-12,15,12,186,260,19-11,19,11,9-15,9,15,1-2,1,2,0-0,0,0,6-9,6,9,5-14,5,14,18-5,18,5
174,Charleston,Coastal Athletic,18-12,18,12,28-28,28,28,152,10-14,10,14,195,119,17-16,17,16,10-8,10,8,1-4,1,4,1-4,1,4,2-3,2,3,10-13,10,13,15-8,15,8
175,Sam Houston State,Conference USA,13-17,13,17,25-33,25,33,124,11-15,11,15,188,161,13-15,13,15,11-17,11,17,1-1,1,1,0-12,0,12,3-7,3,7,10-7,10,7,12-7,12,7
176,Penn,Ivy League,14-7,14,7,20-22,20,22,192,6-13,6,13,182,66,12-4,12,4,8-15,8,15,0-3,0,3,1-8,1,8,0-1,0,1,5-5,5,5,14-8,14,8
177,Stony Brook,Coastal Athletic,13-17,13,17,21-30,21,30,133,8-13,8,13,159,140,11-9,11,9,10-21,10,21,0-0,0,0,0-7,0,7,1-4,1,4,9-11,9,11,11-8,11,8
178,UTA,Western Athletic,8-10,8,10,19-32,19,32,81,11-20,11,20,176,69,12-13,12,13,6-17,6,17,1-2,1,2,3-5,3,5,2-4,2,4,5-14,5,14,9-9,9,9
179,Niagara,MAAC,20-10,20,10,27-21-1,27,21,275,6-9-1,6,9,200,271,11-5-1,11,5,15-14,15,14,1-2,1,2,0-3-0,0,3,0-3-0,0,3,4-5-0,4,5,23-10-1,23,10
180,Bethune-Cookman,SWAC,23-7,23,7,38-20,38,20,290,14-11,14,11,184,247,21-9,21,9,15-9,15,9,2-2,2,2,2-2,2,2,1-1,1,1,8-6,8,6,27-11,27,11
181,San Jose State,Mountain West,11-13,11,13,24-27,24,27,179,13-14,13,14,154,170,14-11,14,11,10-16,10,16,0-0,0,0,0-0,0,0,2-8,2,8,9-13,9,13,13-6,13,6
182,Dayton,Atlantic 10,15-15,15,15,31-23,31,23,256,16-8,16,8,164,286,16-13,16,13,15-9,15,9,0-1,0,1,0-1,0,1,0-2,0,2,6-11,6,11,25-9,25,9
183,James Madison,Sun Belt,11-19,11,19,21-32,21,32,105,10-13,10,13,181,146,13-13,13,13,6-18,6,18,2-1,2,1,2-11,2,11,3-4,3,4,3-7,3,7,13-10,13,10
184,Stephen F. Austin,Southland,15-15,15,15,28-27,28,27,215,11-10,11,10,236,288,14-12,14,12,12-13,12,13,2-2,2,2,0-2,0,2,1-3,1,3,14-13,14,13,13-9,13,9
185,Cal State Northridge,Big West,12-18,12,18,25-28,25,28,168,13-10,13,10,113,147,14-15,14,15,11-13,11,13,0-0,0,0,1-2,1,2,5-8,5,8,4-9,4,9,15-9,15,9
186,Santa Clara,West Coast,13-14,13,14,25-29,25,29,151,12-14,12,14,136,52,18-12,18,12,7-16,7,16,0-1,0,1,2-4,2,4,3-3,3,3,2-8,2,8,18-14,18,14
187,Marshall,Sun Belt,13-17,13,17,23-32,23,32,131,10-14,10,14,213,208,13-11,13,11,8-18,8,18,2-3,2,3,1-9,1,9,4-14,4,14,3-3,3,3,15-6,15,6
188,Bryant,America East,13-11,13,11,27-25,27,25,252,14-13,14,13,149,239,14-7,14,7,13-17,13,17,0-1,0,1,0-3,0,3,0-3,0,3,11-11,11,11,16-8,16,8
189,Arizona,Big 12,9-21,9,21,19-34,19,34,69,10-13,10,13,242,205,12-17,12,17,5-13,5,13,2-4,2,4,4-13,4,13,3-5,3,5,4-9,4,9,8-7,8,7
190,Brown,Ivy League,13-8,13,8,23-20,23,20,250,8-10,8,10,225,211,12-6,12,6,8-10,8,10,3-4,3,4,0-0,0,0,0-1,0,1,5-11,5,11,18-8,18,8
191,Southern Indiana,Ohio Valley,10-17,10,17,29-29,29,29,232,17-10,17,10,168,300,20-6,20,6,7-21,7,21,2-2,2,2,0-4,0,4,2-11,2,11,7-6,7,6,20-8,20,8
192,Columbia,Ivy League,10-10-1,10,10,16-25-1,16,25,147,5-13,5,13,119,19,8-6-1,8,6,7-17,7,17,1-2,1,2,2-8-0,2,8,0-3-0,0,3,2-4-0,2,4,12-10-1,12,10
193,New Orleans,Southland,13-17,13,17,24-30,24,30,181,11-13,11,13,189,221,14-11,14,11,10-19,10,19,0-0,0,0,1-2,1,2,4-7,4,7,6-13,6,13,13-8,13,8
194,Austin Peay,ASUN,14-16,14,16,24-31,24,31,191,10-14,10,14,132,118,12-9,12,9,12-20,12,20,0-2,0,2,1-7,1,7,0-0,0,0,7-12,7,12,16-12,16,12
195,Long Island,NEC,26-7,26,7,30-22,30,22,284,1-13,1,13,301,133,12-7,12,7,15-14,15,14,3-1,3,1,0-2,0,2,0-3,0,3,2-6,2,6,28-11,28,11
196,Abilene Christian,Western Athletic,8-10,8,10,26-31,26,31,174,17-19,17,19,207,223,15-13,15,13,9-14,9,14,2-4,2,4,1-3,1,3,3-4,3,4,9-17,9,17,13-7,13,7
197,UNLV,Mountain West,11-13,11,13,30-25,30,25,240,19-11,19,11,169,262,19-14,19,14,9-10,9,10,2-1,2,1,1-0,1,0,0-2,0,2,10-13,10,13,19-10,19,10
198,Southern,SWAC,20-7,20,7,26-23,26,23,264,4-14,4,14,232,46,11-9,11,9,12-11,12,11,3-3,3,3,0-2,0,2,0-6,0,6,3-6,3,6,23-9,23,9
199,Penn State,Big Ten,9-21,9,21,16-35,16,35,70,7-14,7,14,218,135,10-10,10,10,4-20,4,20,2-5,2,5,1-10,1,10,2-5,2,5,4-10,4,10,9-10,9,10
200,Holy Cross,Patriot League,13-13,13,13,25-30,25,30,239,8-14,8,14,215,249,8-8,8,8,13-20,13,20,4-2,4,2,0-2,0,2,0-3,0,3,8-13,8,13,17-12,17,12
201,Grand Canyon,Mountain West,11-13,11,13,21-30,21,30,128,10-17,10,17,209,98,14-14,14,14,7-14,7,14,0-2,0,2,0-2,0,2,1-11,1,11,8-10,8,10,12-7,12,7
202,Texas A&M-Corpus Christi,Southland,11-19,11,19,23-28,23,28,175,12-9,12,9,147,192,15-14,15,14,8-14,8,14,0-0,0,0,1-3,1,3,4-6,4,6,4-8,4,8,14-11,14,11
203,Stetson,ASUN,13-16,13,16,23-32,23,32,139,10-15,10,15,143,34,14-17,14,17,9-13,9,13,0-2,0,2,3-8,3,8,1-1,1,1,2-11,2,11,17-12,17,12
204,Georgia Southern,Sun Belt,7-23,7,23,16-40,16,40,47,9-17,9,17,153,27,12-18,12,18,3-22,3,22,1-0,1,0,1-12,1,12,4-15,4,15,5-8,5,8,6-5,6,5
205,Fordham,Atlantic 10,15-15,15,15,25-30,25,30,216,10-15,10,15,252,270,11-15,11,15,14-15,14,15,0-0,0,0,0-0,0,0,0-0,0,0,9-19,9,19,16-11,16,11
206,VMI,Southern,3-18,3,18,28-27,28,27,241,25-8,25,8,157,303,22-9,22,9,6-17,6,17,0-1,0,1,0-7,0,7,1-10,1,10,3-6,3,6,24-4,24,4
207,Merrimack,MAAC,20-10,20,10,27-29,27,29,258,6-17,6,17,254,199,11-8,11,8,14-16,14,16,2-5,2,5,0-1,0,1,1-2,1,2,3-9,3,9,23-17,23,17
208,Quinnipiac,MAAC,14-16,14,16,23-28,23,28,247,9-12,9,12,135,185,9-9,9,9,14-19,14,19,0-0,0,0,0-0,0,0,2-5,2,5,4-11,4,11,17-12,17,12
209,Marist,MAAC,17-13,17,13,25-30,25,30,229,6-15,6,15,222,116,15-5,15,5,8-19,8,19,2-6,2,6,0-0,0,0,1-13,1,13,4-10,4,10,20-7,20,7
210,San Diego,West Coast,12-14-1,12,14,20-30-1,20,30,148,8-16,8,16,167,57,13-13,13,13,7-17-1,7,17,0-0,0,0,0-4-0,0,4,3-7-0,3,7,7-11-0,7,11,10-8-1,10,8
211,Bowling Green,Mid-American,12-21,12,21,17-34,17,34,127,5-13,5,13,98,16,8-8,8,8,9-25,9,25,0-1,0,1,2-9,2,9,4-7,4,7,1-5,1,5,10-13,10,13
212,UMBC,America East,15-9,15,9,29-24,29,24,276,13-13,13,13,224,274,18-7,18,7,10-15,10,15,1-2,1,2,0-0,0,0,0-6,0,6,5-11,5,11,24-7,24,7
213,Ball State,Mid-American,18-15,18,15,23-30,23,30,198,5-13,5,13,249,193,14-7,14,7,6-17,6,17,3-6,3,6,1-6,1,6,1-2,1,2,6-15,6,15,15-7,15,7
214,Gardner-Webb,Big South,10-14,10,14,25-30,25,30,200,15-16,15,16,226,248,19-11,19,11,6-19,6,19,0-0,0,0,1-2,1,2,1-12,1,12,2-8,2,8,21-8,21,8
215,Evansville,Missouri Valley,13-11,13,11,21-33,21,33,167,7-20,7,20,210,50,11-11,11,11,9-18,9,18,1-4,1,4,0-5,0,5,3-9,3,9,2-4,2,4,16-15,16,15
216,San Francisco,West Coast,15-12,15,12,28-30,28,30,226,9-16,9,16,276,237,16-15,16,15,8-13,8,13,4-2,4,2,0-0,0,0,3-4,3,4,6-13,6,13,19-13,19,13
217,Navy,Patriot League,16-10,16,10,30-19,30,19,297,14-7,14,7,246,307,17-9,17,9,11-8,11,8,2-2,2,2,0-0,0,0,0-0,0,0,8-8,8,8,22-11,22,11
218,Davidson,Atlantic 10,16-14,16,14,25-28,25,28,234,9-12,9,12,251,253,16-10,16,10,9-14,9,14,0-4,0,4,0-2,0,2,0-6,0,6,2-5,2,5,23-15,23,15
219,Milwaukee,Horizon League,14-10,14,10,27-33,27,33,265,8-21,8,21,228,163,12-6,12,6,11-27,11,27,4-0,4,0,2-9,2,9,1-6,1,6,4-9,4,9,20-9,20,9
220,New Mexico,Mountain West,12-11-1,12,11,28-24-1,28,24,253,15-11,15,11,256,290,21-12-1,21,12,6-10,6,10,1-2,1,2,0-0-0,0,0,1-2-0,1,2,8-14-0,8,14,19-8-1,19,8
221,Incarnate Word,Southland,9-21,9,21,19-29,19,29,164,10-8,10,8,125,177,12-13,12,13,7-16,7,16,0-0,0,0,0-5,0,5,2-6,2,6,7-7,7,7,10-11,10,11
222,Pepperdine,West Coast,15-12,15,12,21-33,21,33,171,6-20,6,20,269,123,12-13,12,13,9-19,9,19,0-1,0,1,1-7,1,7,2-3,2,3,2-8,2,8,16-15,16,15
223,Fairleigh Dickinson,NEC,25-8,25,8,34-20-1,34,20,304,7-10-1,7,10,277,296,19-5,19,5,13-12-1,13,12,2-3,2,3,0-0-0,0,0,1-0-0,1,0,4-3-0,4,3,29-17-1,29,17
224,Middle Tennessee,Conference USA,12-18,12,18,26-31,26,31,197,14-11,14,11,248,291,22-11,22,11,4-18,4,18,0-2,0,2,0-7,0,7,1-9,1,9,4-6,4,6,21-9,21,9
225,New Mexico State,Conference USA,9-21,9,21,18-34,18,34,118,9-13,9,13,211,176,13-13,13,13,5-20,5,20,0-1,0,1,2-8,2,8,2-10,2,10,4-9,4,9,10-7,10,7
226,UIC,Missouri Valley,16-8,16,8,27-29-1,27,29,269,8-19-1,8,19,285,267,14-8,14,8,10-18-1,10,18,3-3,3,3,0-3-0,0,3,0-7-0,0,7,6-8-1,6,8,21-11-0,21,11
227,FIU,Conference USA,10-20,10,20,19-35,19,35,110,9-15,9,15,220,101,16-16,16,16,3-19,3,19,0-0,0,0,0-9,0,9,0-3,0,3,8-11,8,11,11-12,11,12
228,UMass-Lowell,America East,10-14,10,14,21-31,21,31,212,10-15,10,15,183,200,8-12,8,12,12-14,12,14,1-5,1,5,0-1,0,1,3-6,3,6,9-11,9,11,9-13,9,13
229,William & Mary,Coastal Athletic,12-18,12,18,21-32,21,32,193,9-14,9,14,192,142,12-14,12,14,9-18,9,18,0-0,0,0,0-7,0,7,1-4,1,4,3-10,3,10,17-11,17,11
230,Butler,Big East,9-12,9,12,20-34,20,34,190,11-22,11,22,237,210,10-11,10,11,10-20,10,20,0-3,0,3,0-0,0,0,2-9,2,9,9-16,9,16,9-9,9,9
231,Wagner,NEC,23-10,23,10,29-24,29,24,302,5-12,5,12,265,279,12-4,12,4,16-18,16,18,1-2,1,2,0-3,0,3,0-4,0,4,3-3,3,3,26-14,26,14
232,Towson,Coastal Athletic,9-21,9,21,22-32,22,32,230,13-11,13,11,198,292,9-14,9,14,13-18,13,18,0-0,0,0,0-3,0,3,0-4,0,4,9-16,9,16,13-9,13,9
233,Harvard,Ivy League,9-12,9,12,11-26,11,26,165,2-14,2,14,230,28,2-8,2,8,8-18,8,18,1-0,1,0,0-3,0,3,1-6,1,6,2-9,2,9,8-8,8,8
234,Southern Illinois,Missouri Valley,14-10,14,10,27-32,27,32,245,9-20,9,20,274,196,12-16,12,16,9-13,9,13,6-3,6,3,0-1,0,1,0-4,0,4,3-9,3,9,24-18,24,18
235,Tennessee-Martin,Ohio Valley,11-15,11,15,25-29,25,29,244,14-13,14,13,272,298,17-13,17,13,8-15,8,15,0-1,0,1,0-4,0,4,2-6,2,6,7-9,7,9,16-10,16,10
236,Elon,Coastal Athletic,10-20,10,20,20-33,20,33,189,10-13,10,13,177,159,10-15,10,15,10-16,10,16,0-2,0,2,3-4,3,4,2-3,2,3,2-9,2,9,13-17,13,17
237,Villanova,Big East,5-16,5,16,19-30,19,30,238,14-14,14,14,174,261,8-10,8,10,11-20,11,20,0-0,0,0,0-0,0,0,1-5,1,5,8-17,8,17,10-8,10,8
238,Cal State Bakersfield,Big West,11-19,11,19,21-32,21,32,205,10-13,10,13,233,235,10-16,10,16,10-15,10,15,1-1,1,1,0-2,0,2,0-8,0,8,8-9,8,9,13-13,13,13
239,South Dakota State,The Summit League,12-15,12,15,20-33,20,33,249,5-15,5,15,129,32,6-6,6,6,10-24,10,24,4-3,4,3,2-9,2,9,0-4,0,4,3-6,3,6,15-14,15,14
240,Central Michigan,Mid-American,13-20,13,20,22-29,22,29,272,9-9,9,9,239,302,10-9,10,9,12-20,12,20,0-0,0,0,0-7,0,7,0-4,0,4,3-6,3,6,19-12,19,12
241,Pacific,West Coast,15-11-1,15,11,24-30-1,24,30,248,8-17,8,17,291,268,15-13-1,15,13,8-15,8,15,1-2,1,2,0-0-0,0,0,1-4-0,1,4,8-15-0,8,15,15-11-1,15,11
242,Arkansas-Pine Bluff,SWAC,16-14,16,14,24-34,24,34,225,6-18,6,18,270,125,17-10,17,10,5-21,5,21,2-3,2,3,0-4,0,4,0-6,0,6,3-11,3,11,21-13,21,13
243,Delaware,Conference USA,7-23,7,23,19-35,19,35,163,12-12,12,12,165,198,15-12,15,12,4-23,4,23,0-0,0,0,1-5,1,5,1-7,1,7,3-19,3,19,14-4,14,4
244,Eastern Michigan,Mid-American,12-21,12,21,19-34,19,34,202,7-13,7,13,194,195,11-11,11,11,8-23,8,23,0-0,0,0,1-5,1,5,4-10,4,10,1-9,1,9,13-10,13,10
245,Princeton,Ivy League,8-13,8,13,15-27,15,27,224,7-14,7,14,175,139,6-10,6,10,9-17,9,17,0-0,0,0,1-2,1,2,4-6,4,6,2-7,2,7,8-12,8,12
246,Eastern Kentucky,ASUN,10-20,10,20,17-37,17,37,180,7-17,7,17,208,105,7-15,7,15,10-21,10,21,0-1,0,1,0-2,0,2,0-3,0,3,6-18,6,18,11-14,11,14
247,Sacred Heart,MAAC,13-16,13,16,17-32,17,32,213,4-16,4,16,275,173,8-11,8,11,9-21,9,21,0-0,0,0,0-4,0,4,0-3,0,3,5-9,5,9,12-16,12,16
248,Long Beach State,Big West,11-19,11,19,17-35,17,35,136,6-16,6,16,250,83,12-19,12,19,5-14,5,14,0-2,0,2,1-8,1,8,0-4,0,4,10-9,10,9,6-14,6,14
249,Bellarmine,ASUN,11-19,11,19,19-34,19,34,233,8-15,8,15,229,224,8-11,8,11,10-21,10,21,1-2,1,2,0-1,0,1,1-4,1,4,5-15,5,15,13-14,13,14
250,Tennessee Tech,Ohio Valley,6-21,6,21,18-37,18,37,155,12-16,12,16,227,213,12-18,12,18,6-19,6,19,0-0,0,0,0-4,0,4,2-8,2,8,7-17,7,17,9-8,9,8
251,Belmont,Missouri Valley,11-13,11,13,21-34,21,34,220,10-21,10,21,243,154,11-18,11,18,10-15,10,15,0-1,0,1,0-1,0,1,2-5,2,5,5-9,5,9,14-19,14,19
252,Omaha,The Summit League,16-11,16,11,21-26,21,26,280,5-13,5,13,179,90,9-7,9,7,10-15,10,15,2-4,2,4,1-4,1,4,0-3,0,3,6-7,6,7,14-12,14,12
253,Seattle University,West Coast,11-16,11,16,16-31,16,31,203,5-15,5,15,268,172,8-13,8,13,8-18,8,18,0-0,0,0,0-3,0,3,3-6,3,6,3-9,3,9,10-13,10,13
254,Saint Louis,Atlantic 10,11-19,11,19,20-34,20,34,211,9-15,9,15,279,256,13-14,13,14,7-17,7,17,0-3,0,3,0-1,0,1,0-8,0,8,3-8,3,8,17-17,17,17
255,Georgetown,Big East,9-12,9,12,28-28,28,28,282,19-16,19,16,266,301,18-16,18,16,10-12,10,12,0-0,0,0,0-1,0,1,4-7,4,7,6-7,6,7,18-13,18,13
256,Le Moyne,NEC,22-11,22,11,22-26,22,26,285,0-13,0,13,297,53,13-7,13,7,9-17,9,17,0-2,0,2,0-6,0,6,0-1,0,1,2-7,2,7,20-12,20,12
257,Canisius,MAAC,17-13,17,13,21-26,21,26,291,4-11,4,11,290,295,11-5,11,5,10-19,10,19,0-2,0,2,0-0,0,0,1-5,1,5,3-6,3,6,17-15,17,15
258,UMass,Mid-American,13-20,13,20,18-29,18,29,254,5-9,5,9,294,299,8-11,8,11,9-15,9,15,1-3,1,3,0-4,0,4,0-3,0,3,3-9,3,9,15-13,15,13
259,Grambling State,SWAC,18-12,18,12,21-31,21,31,268,3-17,3,17,257,70,11-5,11,5,7-18,7,18,3-8,3,8,0-3,0,3,0-3,0,3,3-9,3,9,18-16,18,16
260,Western Illinois,Ohio Valley,8-19,8,19,15-36,15,36,187,7-17,7,17,281,276,7-12,7,12,6-23,6,23,2-1,2,1,0-0,0,0,1-7,1,7,3-22,3,22,11-7,11,7
261,Iona,MAAC,15-14,15,14,19-28,19,28,273,4-14,4,14,284,204,10-10,10,10,9-16,9,16,0-2,0,2,0-0,0,0,0-0,0,0,4-12,4,12,15-16,15,16
262,Queens,ASUN,11-19,11,19,16-38,16,38,160,5-19,5,19,258,86,10-18,10,18,6-20,6,20,0-0,0,0,0-5,0,5,1-2,1,2,4-12,4,12,11-19,11,19
263,UNC Asheville,Big South,9-15,9,15,21-34,21,34,243,12-19,12,19,292,289,12-16,12,16,7-18,7,18,2-0,2,0,0-2,0,2,3-11,3,11,4-3,4,3,14-18,14,18
264,Stonehill,NEC,17-13,17,13,21-28,21,28,296,4-15,4,15,264,229,10-5,10,5,11-23,11,23,0-0,0,0,0-0,0,0,0-0,0,0,4-20,4,20,17-8,17,8
265,Dartmouth,Ivy League,7-14,7,14,15-25,15,25,263,8-11,8,11,202,217,9-6,9,6,4-19,4,19,2-0,2,0,0-3,0,3,0-0,0,0,3-14,3,14,12-8,12,8
266,Mount Saint Mary's,MAAC,13-17,13,17,22-26,22,26,286,9-9,9,9,260,297,9-14,9,14,12-10,12,10,1-2,1,2,0-0,0,0,0-0,0,0,6-10,6,10,16-16,16,16
267,Manhattan,MAAC,10-20,10,20,20-31,20,31,283,10-11,10,11,241,305,6-9,6,9,14-19,14,19,0-3,0,3,0-0,0,0,2-2,2,2,5-10,5,10,13-19,13,19
268,Siena,MAAC,12-18,12,18,20-30,20,30,278,8-12,8,12,235,273,11-7,11,7,7-22,7,22,2-1,2,1,0-6,0,6,0-4,0,4,1-4,1,4,19-16,19,16
269,West Georgia,ASUN,10-20,10,20,13-41,13,41,141,3-21,3,21,267,75,8-15,8,15,5-26,5,26,0-0,0,0,0-4,0,4,0-8,0,8,3-16,3,16,10-13,10,13
270,UC Riverside,Big West,10-20,10,20,15-37,15,37,176,5-17,5,17,293,190,10-18,10,18,5-19,5,19,0-0,0,0,0-3,0,3,1-8,1,8,1-9,1,9,13-17,13,17
271,La Salle,Atlantic 10,8-22,8,22,24-31,24,31,289,16-9,16,9,247,308,15-11,15,11,9-20,9,20,0-0,0,0,0-4,0,4,0-3,0,3,3-12,3,12,21-12,21,12
272,Seton Hall,Big East,3-18,3,18,16-30,16,30,219,13-12,13,12,193,240,10-14,10,14,3-14,3,14,3-2,3,2,0-1,0,1,0-6,0,6,2-16,2,16,14-7,14,7
