Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,RPI,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
237,Bowling Green,Mid-American,18-22,18,22,20-30,20,30,237,253,2-8,2,8,247,242,8-12,8,12,12-18,12,18,0-0,0,0,2-6,2,6,0-0,0,0,0-8,0,8,18-16,18,16
238,Winthrop,Big South,16-21,16,21,19-27,19,27,238,217,3-6,3,6,246,210,12-15,12,15,7-12,7,12,0-0,0,0,0-7,0,7,2-2,2,2,2-7,2,7,15-11,15,11
239,James Madison,Colonial Athletic,6-9,6,9,11-17,11,17,239,214,5-8,5,8,205,174,8-6,8,6,3-11,3,11,0-0,0,0,0-5,0,5,0-3,0,3,2-0,2,0,9-9,9,9
240,High Point,Big South,12-25,12,25,14-31,14,31,240,146,2-6,2,6,206,72,6-15,6,15,7-14,7,14,1-2,1,2,1-4,1,4,2-7,2,7,1-10,1,10,10-10,10,10
241,Richmond,Atlantic 10,5-11,5,11,19-17,19,17,241,273,14-6,14,6,166,255,14-9,14,9,5-8,5,8,0-0,0,0,0-3,0,3,0-0,0,0,1-7,1,7,18-7,18,7
242,UNC Asheville,Big South,14-26,14,26,15-33,15,33,242,144,1-7,1,7,223,100,11-11,11,11,4-22,4,22,0-0,0,0,2-4,2,4,1-9,1,9,3-8,3,8,9-12,9,12
243,Seattle University,Western Athletic,10-22,10,22,17-33,17,33,243,221,5-9,5,9,93,93,7-9,7,9,8-22,8,22,2-2,2,2,2-2,2,2,1-7,1,7,3-5,3,5,11-19,11,19
244,Tarleton State,Western Athletic,13-23,13,23,20-35,20,35,244,237,7-12,7,12,139,116,8-13,8,13,11-21,11,21,1-1,1,1,1-4,1,4,1-7,1,7,2-8,2,8,16-16,16,16
245,New Mexico State,Western Athletic,16-20,16,20,18-34,18,34,245,205,1-12,1,12,187,17,10-10,10,10,7-22,7,22,1-2,1,2,0-6,0,6,1-10,1,10,1-7,1,7,16-11,16,11
246,Navy,Patriot League,11-12,11,12,17-15,17,15,246,283,5-1,5,1,218,270,12-5,12,5,5-10,5,10,0-0,0,0,0-0,0,0,0-0,0,0,2-1,2,1,15-14,15,14
